category,canonical,aliases
Programming Language,Mustache,"Mustache Skill, Mustache Expert, Mustache Dev"
Framework,React,"React.js, ReactJS, React JS"
Framework,Next.js,"NextJS, Next JS, Next Framework"
Framework,Angular,"Angular Skill, Angular Expert, Angular Dev"
Framework,Vue.js,"VJ, Vue.js Skill, Vue.js Expert"
Framework,Nuxt,"Nuxt Skill, Nuxt Expert, Nuxt Dev"
Framework,Svelte,"Svelte Skill, Svelte Expert, Svelte Dev"
Framework,SvelteKit,"SvelteKit Skill, SvelteKit Expert, SvelteKit Dev"
Framework,Ember.js,"EJ, Ember.js Skill, Ember.js Expert"
Framework,Backbone.js,"BJ, Backbone.js Skill, Backbone.js Expert"
Framework,jQuery,"jQuery Skill, jQuery Expert, jQuery Dev"
Framework,Express.js,"Express.js Skill, Express.js Expert, Express.js Dev"
Framework,NestJS,"NestJS Skill, NestJS Expert, NestJS Dev"
Framework,Fastify,"Fastify Skill, Fastify Expert, Fastify Dev"
Framework,Koa,"Koa Skill, Koa Expert, Koa Dev"
Framework,Hapi,"Hapi Skill, Hapi Expert, Hapi Dev"
Framework,Meteor,"Meteor Skill, Meteor Expert, Meteor Dev"
Framework,AdonisJS,"AdonisJS Skill, AdonisJS Expert, AdonisJS Dev"
Framework,LoopBack,"LoopBack Skill, LoopBack Expert, LoopBack Dev"
Framework,FeathersJS,"FeathersJS Skill, FeathersJS Expert, FeathersJS Dev"
Framework,RedwoodJS,"RedwoodJS Skill, RedwoodJS Expert, RedwoodJS Dev"
Framework,Remix,"Remix Skill, Remix Expert, Remix Dev"
Framework,Gatsby,"Gatsby Skill, Gatsby Expert, Gatsby Dev"
Framework,Astro,"Astro Skill, Astro Expert, Astro Dev"
Framework,SolidJS,"SolidJS Skill, SolidJS Expert, SolidJS Dev"
Framework,Preact,"Preact Skill, Preact Expert, Preact Dev"
Framework,Alpine.js,"AJ, Alpine.js Skill, Alpine.js Expert"
Framework,Stimulus,"Stimulus Skill, Stimulus Expert, Stimulus Dev"
Framework,Lit,"Lit Skill, Lit Expert, Lit Dev"
Framework,Polymer,"Polymer Skill, Polymer Expert, Polymer Dev"
Framework,Electron,"Electron Skill, Electron Expert, Electron Dev"
Framework,Tauri,"Tauri Skill, Tauri Expert, Tauri Dev"
Framework,Django,"Django Skill, Django Expert, Django Dev"
Framework,Flask,"Flask Skill, Flask Expert, Flask Dev"
Framework,FastAPI,"Fast API, Python FastAPI, FastAPI REST"
Framework,Starlette,"Starlette Skill, Starlette Expert, Starlette Dev"
Framework,Sanic,"Sanic Skill, Sanic Expert, Sanic Dev"
Framework,Tornado,"Tornado Skill, Tornado Expert, Tornado Dev"
Framework,Pyramid,"Pyramid Skill, Pyramid Expert, Pyramid Dev"
Framework,Bottle,"Bottle Skill, Bottle Expert, Bottle Dev"
Framework,CherryPy,"CherryPy Skill, CherryPy Expert, CherryPy Dev"
Framework,Dash,"Dash Skill, Dash Expert, Dash Dev"
Framework,Streamlit,"Streamlit Skill, Streamlit Expert, Streamlit Dev"
Framework,Gradio,"Gradio Skill, Gradio Expert, Gradio Dev"
Framework,Spring Framework,"SF, Spring Framework Skill, Spring Framework Expert"
Framework,Spring Boot,"SB, Spring Boot Skill, Spring Boot Expert"
Framework,Spring Cloud,"SC, Spring Cloud Skill, Spring Cloud Expert"
Framework,Jakarta EE,"JE, Jakarta EE Skill, Jakarta EE Expert"
Framework,Micronaut,"Micronaut Skill, Micronaut Expert, Micronaut Dev"
Framework,Quarkus,"Quarkus Skill, Quarkus Expert, Quarkus Dev"
Framework,Play Framework,"PF, Play Framework Skill, Play Framework Expert"
Framework,Struts,"Struts Skill, Struts Expert, Struts Dev"
Framework,Grails,"Grails Skill, Grails Expert, Grails Dev"
Framework,Vaadin,"Vaadin Skill, Vaadin Expert, Vaadin Dev"
Framework,Hibernate,"Hibernate Skill, Hibernate Expert, Hibernate Dev"
Framework,MyBatis,"MyBatis Skill, MyBatis Expert, MyBatis Dev"
Framework,JUnit,"JUnit Skill, JUnit Expert, JUnit Dev"
Framework,Apache Wicket,"AW, Apache Wicket Skill, Apache Wicket Expert"
Framework,.NET Framework,"NF, .NET Framework Skill, .NET Framework Expert"
Framework,ASP.NET Core,"ANC, ASP.NET Core Skill, ASP.NET Core Expert"
Framework,ASP.NET MVC,"ANM, ASP.NET MVC Skill, ASP.NET MVC Expert"
Framework,Blazor,"Blazor Skill, Blazor Expert, Blazor Dev"
Framework,Entity Framework Core,"EFC, Entity Framework Core Skill, Entity Framework Core Expert"
Framework,Windows Presentation Foundation,"WPF, Windows Presentation Foundation Skill, Windows Presentation Foundation Expert"
Framework,Windows Communication Foundation,"WCF, Windows Communication Foundation Skill, Windows Communication Foundation Expert"
Framework,MAUI,"MAUI Skill, MAUI Expert, MAUI Dev"
Framework,WinUI,"WinUI Skill, WinUI Expert, WinUI Dev"
Framework,Laravel,"Laravel Skill, Laravel Expert, Laravel Dev"
Framework,Symfony,"Symfony Skill, Symfony Expert, Symfony Dev"
Framework,CodeIgniter,"CodeIgniter Skill, CodeIgniter Expert, CodeIgniter Dev"
Framework,CakePHP,"CakePHP Skill, CakePHP Expert, CakePHP Dev"
Framework,Yii,"Yii Skill, Yii Expert, Yii Dev"
Framework,Zend Framework,"ZF, Zend Framework Skill, Zend Framework Expert"
Framework,Slim Framework,"Slim Framework Skill, Slim Framework Expert, Slim Framework Dev"
Framework,Phalcon,"Phalcon Skill, Phalcon Expert, Phalcon Dev"
Framework,Ruby on Rails,"ROR, Ruby on Rails Skill, Ruby on Rails Expert"
Framework,Sinatra,"Sinatra Skill, Sinatra Expert, Sinatra Dev"
Framework,Hanami,"Hanami Skill, Hanami Expert, Hanami Dev"
Framework,Phoenix Framework,"Phoenix Framework Skill, Phoenix Framework Expert, Phoenix Framework Dev"
Framework,Plug,"Plug Skill, Plug Expert, Plug Dev"
Framework,Gin,"Gin Skill, Gin Expert, Gin Dev"
Framework,Echo,"Echo Skill, Echo Expert, Echo Dev"
Framework,Fiber,"Fiber Skill, Fiber Expert, Fiber Dev"
Framework,Beego,"Beego Skill, Beego Expert, Beego Dev"
Framework,Revel,"Revel Skill, Revel Expert, Revel Dev"
Framework,Chi,"Chi Skill, Chi Expert, Chi Dev"
Framework,Actix Web,"Actix Web Skill, Actix Web Expert, Actix Web Dev"
Framework,Rocket,"Rocket Skill, Rocket Expert, Rocket Dev"
Framework,Axum,"Axum Skill, Axum Expert, Axum Dev"
Framework,Warp,"Warp Skill, Warp Expert, Warp Dev"
Framework,Yew,"Yew Skill, Yew Expert, Yew Dev"
Framework,Dioxus,"Dioxus Skill, Dioxus Expert, Dioxus Dev"
Framework,Ruby Grape,"RG, Ruby Grape Skill, Ruby Grape Expert"
Framework,Dancer,"Dancer Skill, Dancer Expert, Dancer Dev"
Framework,Mojolicious,"Mojolicious Skill, Mojolicious Expert, Mojolicious Dev"
Framework,Catalyst,"Catalyst Skill, Catalyst Expert, Catalyst Dev"
Framework,Qt,"Qt Skill, Qt Expert, Qt Dev"
Framework,GTK,"GTK Skill, GTK Expert, GTK Dev"
Framework,Flutter,"Flutter Skill, Flutter Expert, Flutter Dev"
Framework,React Native,"RN, React Native Skill, React Native Expert"
Framework,Ionic,"Ionic Skill, Ionic Expert, Ionic Dev"
Framework,Cordova,"Cordova Skill, Cordova Expert, Cordova Dev"
Framework,Capacitor,"Capacitor Skill, Capacitor Expert, Capacitor Dev"
Framework,Xamarin,"Xamarin Skill, Xamarin Expert, Xamarin Dev"
Framework,NativeScript,"NativeScript Skill, NativeScript Expert, NativeScript Dev"
Framework,Expo,"Expo Skill, Expo Expert, Expo Dev"
Framework,Ktor,"Ktor Skill, Ktor Expert, Ktor Dev"
Framework,Vert.x,"VX, Vert.x Skill, Vert.x Expert"
Framework,Akka,"Akka Skill, Akka Expert, Akka Dev"
Framework,Apache Camel,"AC, Apache Camel Skill, Apache Camel Expert"
Framework,Apache Flink,"AF, Apache Flink Skill, Apache Flink Expert"
Framework,Apache Beam,"AB, Apache Beam Skill, Apache Beam Expert"
Framework,Apache Spark,"Spark, Spark SQL, Spark Engine"
Framework,Hadoop MapReduce,"HM, Hadoop MapReduce Skill, Hadoop MapReduce Expert"
Framework,TensorFlow,"TF, Tensor Flow, TensorFlow ML"
Framework,PyTorch,"Torch, Py Torch, PyTorch ML"
Framework,Keras,"Keras Skill, Keras Expert, Keras Dev"
Framework,Scikit-learn,"SL, Scikit-learn Skill, Scikit-learn Expert"
Framework,XGBoost,"XGB, Extreme Gradient Boosting, XGBoost ML"
Framework,LightGBM,"LightGBM Skill, LightGBM Expert, LightGBM Dev"
Framework,CatBoost,"CatBoost Skill, CatBoost Expert, CatBoost Dev"
Framework,LangChain,"Lang Chain, LangChain AI, LangChain LLM"
Framework,LlamaIndex,"LlamaIndex Skill, LlamaIndex Expert, LlamaIndex Dev"
Framework,Haystack,"Haystack Skill, Haystack Expert, Haystack Dev"
Framework,Semantic Kernel,"SK, Semantic Kernel Skill, Semantic Kernel Expert"
Framework,DSPy,"DSPy Skill, DSPy Expert, DSPy Dev"
Framework,Hugging Face Transformers,"HFT, Hugging Face Transformers Skill, Hugging Face Transformers Expert"
Framework,OpenAI Agents SDK,"OAS, OpenAI Agents SDK Skill, OpenAI Agents SDK Expert"
Framework,CrewAI,"CrewAI Skill, CrewAI Expert, CrewAI Dev"
Framework,AutoGen,"AutoGen Skill, AutoGen Expert, AutoGen Dev"
Framework,Spring Security,"Spring Security Skill, Spring Security Expert, Spring Security Dev"
Database,PostgreSQL,"PostgreSQL Skill, PostgreSQL Expert, PostgreSQL Dev"
Database,MySQL,"MySQL Skill, MySQL Expert, MySQL Dev"
Database,MariaDB,"MariaDB Skill, MariaDB Expert, MariaDB Dev"
Database,Oracle Database,"OD, Oracle Database Skill, Oracle Database Expert"
Database,Microsoft SQL Server,"MSS, Microsoft SQL Server Skill, Microsoft SQL Server Expert"
Database,SQLite,"SQLite Skill, SQLite Expert, SQLite Dev"
Database,IBM Db2,"ID, IBM Db2 Skill, IBM Db2 Expert"
Database,SAP HANA,"SH, SAP HANA Skill, SAP HANA Expert"
Database,Amazon Aurora,"AA, Amazon Aurora Skill, Amazon Aurora Expert"
Database,Amazon RDS,"AR, Amazon RDS Skill, Amazon RDS Expert"
Database,Google Cloud SQL,"GCS, Google Cloud SQL Skill, Google Cloud SQL Expert"
Database,Azure SQL Database,"ASD, Azure SQL Database Skill, Azure SQL Database Expert"
Database,CockroachDB,"CockroachDB Skill, CockroachDB Expert, CockroachDB Dev"
Database,YugabyteDB,"YugabyteDB Skill, YugabyteDB Expert, YugabyteDB Dev"
Database,TiDB,"TiDB Skill, TiDB Expert, TiDB Dev"
Database,SingleStore,"SingleStore Skill, SingleStore Expert, SingleStore Dev"
Database,Snowflake,"Snowflake Skill, Snowflake Expert, Snowflake Dev"
Database,Google BigQuery,"GB, Google BigQuery Skill, Google BigQuery Expert"
Database,Amazon Redshift,"Amazon Redshift Skill, Amazon Redshift Expert, Amazon Redshift Dev"
Database,Azure Synapse Analytics,"ASA, Azure Synapse Analytics Skill, Azure Synapse Analytics Expert"
Database,Teradata,"Teradata Skill, Teradata Expert, Teradata Dev"
Database,Vertica,"Vertica Skill, Vertica Expert, Vertica Dev"
Database,Greenplum,"Greenplum Skill, Greenplum Expert, Greenplum Dev"
Database,ClickHouse,"ClickHouse Skill, ClickHouse Expert, ClickHouse Dev"
Database,DuckDB,"DuckDB Skill, DuckDB Expert, DuckDB Dev"
Database,Apache Druid,"AD, Apache Druid Skill, Apache Druid Expert"
Database,Apache Pinot,"AP, Apache Pinot Skill, Apache Pinot Expert"
Database,MongoDB,"MongoDB Skill, MongoDB Expert, MongoDB Dev"
Database,CouchDB,"CouchDB Skill, CouchDB Expert, CouchDB Dev"
Database,Couchbase,"Couchbase Skill, Couchbase Expert, Couchbase Dev"
Database,Amazon DocumentDB,"Amazon DocumentDB Skill, Amazon DocumentDB Expert, Amazon DocumentDB Dev"
Database,RavenDB,"RavenDB Skill, RavenDB Expert, RavenDB Dev"
Database,ArangoDB,"ArangoDB Skill, ArangoDB Expert, ArangoDB Dev"
Database,Redis,"Redis Cache, Redis DB, Redis Database"
Database,Valkey,"Valkey Skill, Valkey Expert, Valkey Dev"
Database,Memcached,"Memcached Skill, Memcached Expert, Memcached Dev"
Database,Amazon ElastiCache,"AE, Amazon ElastiCache Skill, Amazon ElastiCache Expert"
Database,Hazelcast,"Hazelcast Skill, Hazelcast Expert, Hazelcast Dev"
Database,Apache Ignite,"AI, Apache Ignite Skill, Apache Ignite Expert"
Database,Cassandra,"Cassandra Skill, Cassandra Expert, Cassandra Dev"
Database,ScyllaDB,"ScyllaDB Skill, ScyllaDB Expert, ScyllaDB Dev"
Database,HBase,"HBase Skill, HBase Expert, HBase Dev"
Database,DynamoDB,"DynamoDB Skill, DynamoDB Expert, DynamoDB Dev"
Database,Google Cloud Bigtable,"GCB, Google Cloud Bigtable Skill, Google Cloud Bigtable Expert"
Database,Azure Cosmos DB,"ACD, Azure Cosmos DB Skill, Azure Cosmos DB Expert"
Database,Neo4j,"Neo4j Skill, Neo4j Expert, Neo4j Dev"
Database,Amazon Neptune,"AN, Amazon Neptune Skill, Amazon Neptune Expert"
Database,TigerGraph,"TigerGraph Skill, TigerGraph Expert, TigerGraph Dev"
Database,JanusGraph,"JanusGraph Skill, JanusGraph Expert, JanusGraph Dev"
Database,OrientDB,"OrientDB Skill, OrientDB Expert, OrientDB Dev"
Database,InfluxDB,"InfluxDB Skill, InfluxDB Expert, InfluxDB Dev"
Database,TimescaleDB,"TimescaleDB Skill, TimescaleDB Expert, TimescaleDB Dev"
Database,Prometheus,"Prometheus Skill, Prometheus Expert, Prometheus Dev"
Database,QuestDB,"QuestDB Skill, QuestDB Expert, QuestDB Dev"
Database,OpenTSDB,"OpenTSDB Skill, OpenTSDB Expert, OpenTSDB Dev"
Database,VictoriaMetrics,"VictoriaMetrics Skill, VictoriaMetrics Expert, VictoriaMetrics Dev"
Database,Elasticsearch,"Elasticsearch Skill, Elasticsearch Expert, Elasticsearch Dev"
Database,OpenSearch,"OpenSearch Skill, OpenSearch Expert, OpenSearch Dev"
Database,Apache Solr,"AS, Apache Solr Skill, Apache Solr Expert"
Database,Meilisearch,"Meilisearch Skill, Meilisearch Expert, Meilisearch Dev"
Database,Typesense,"Typesense Skill, Typesense Expert, Typesense Dev"
Database,ChromaDB,"Chroma, Chroma DB, Chroma Vector DB"
Database,Pinecone,"Pinecone Skill, Pinecone Expert, Pinecone Dev"
Database,Weaviate,"Weaviate Skill, Weaviate Expert, Weaviate Dev"
Database,Milvus,"Milvus Skill, Milvus Expert, Milvus Dev"
Cloud,Amazon Web Services,"AWS, Amazon Cloud, AWS Cloud"
Cloud,Microsoft Azure,"Azure, MS Azure, Azure Cloud"
Cloud,Google Cloud Platform,"GCP, Google Cloud, GCloud"
Cloud,Oracle Cloud Infrastructure,"OCI, Oracle Cloud Infrastructure Skill, Oracle Cloud Infrastructure Expert"
Cloud,IBM Cloud,"IC, IBM Cloud Skill, IBM Cloud Expert"
Cloud,Alibaba Cloud,"Alibaba Cloud Skill, Alibaba Cloud Expert, Alibaba Cloud Dev"
Cloud,DigitalOcean,"DigitalOcean Skill, DigitalOcean Expert, DigitalOcean Dev"
Cloud,Linode,"Linode Skill, Linode Expert, Linode Dev"
Cloud,Vultr,"Vultr Skill, Vultr Expert, Vultr Dev"
Cloud,Heroku,"Heroku Skill, Heroku Expert, Heroku Dev"
Cloud,Cloudflare,"Cloudflare Skill, Cloudflare Expert, Cloudflare Dev"
Cloud,Fastly,"Fastly Skill, Fastly Expert, Fastly Dev"
Cloud,Akamai Cloud Computing,"ACC, Akamai Cloud Computing Skill, Akamai Cloud Computing Expert"
Cloud,Tencent Cloud,"TC, Tencent Cloud Skill, Tencent Cloud Expert"
Cloud,Huawei Cloud,"HC, Huawei Cloud Skill, Huawei Cloud Expert"
Cloud,OVHcloud,"OVHcloud Skill, OVHcloud Expert, OVHcloud Dev"
Cloud,Hetzner Cloud,"Hetzner Cloud Skill, Hetzner Cloud Expert, Hetzner Cloud Dev"
Cloud,Scaleway,"Scaleway Skill, Scaleway Expert, Scaleway Dev"
Cloud,VMware Cloud,"VC, VMware Cloud Skill, VMware Cloud Expert"
Cloud,OpenStack,"OpenStack Skill, OpenStack Expert, OpenStack Dev"
Cloud,Kubernetes Engine,"KE, Kubernetes Engine Skill, Kubernetes Engine Expert"
Cloud,Amazon EC2,"Amazon EC2 Skill, Amazon EC2 Expert, Amazon EC2 Dev"
Cloud,Amazon S3,"Amazon S3 Skill, Amazon S3 Expert, Amazon S3 Dev"
Cloud,Amazon Lambda,"Amazon Lambda Skill, Amazon Lambda Expert, Amazon Lambda Dev"
Cloud,Amazon ECS,"Amazon ECS Skill, Amazon ECS Expert, Amazon ECS Dev"
Cloud,Amazon EKS,"Amazon EKS Skill, Amazon EKS Expert, Amazon EKS Dev"
Cloud,Amazon Fargate,"Amazon Fargate Skill, Amazon Fargate Expert, Amazon Fargate Dev"
Cloud,Amazon CloudFront,"Amazon CloudFront Skill, Amazon CloudFront Expert, Amazon CloudFront Dev"
Cloud,Amazon Route 53,"AR5, Amazon Route 53 Skill, Amazon Route 53 Expert"
Cloud,Amazon CloudWatch,"Amazon CloudWatch Skill, Amazon CloudWatch Expert, Amazon CloudWatch Dev"
Cloud,Amazon IAM,"Amazon IAM Skill, Amazon IAM Expert, Amazon IAM Dev"
Cloud,Amazon VPC,"AV, Amazon VPC Skill, Amazon VPC Expert"
Cloud,Amazon API Gateway,"AAG, Amazon API Gateway Skill, Amazon API Gateway Expert"
Cloud,AWS Glue,"AG, AWS Glue Skill, AWS Glue Expert"
Cloud,AWS Step Functions,"ASF, AWS Step Functions Skill, AWS Step Functions Expert"
Cloud,AWS CloudFormation,"AWS CloudFormation Skill, AWS CloudFormation Expert, AWS CloudFormation Dev"
Cloud,AWS CDK,"AWS CDK Skill, AWS CDK Expert, AWS CDK Dev"
Cloud,AWS CodePipeline,"AWS CodePipeline Skill, AWS CodePipeline Expert, AWS CodePipeline Dev"
Cloud,AWS Secrets Manager,"ASM, AWS Secrets Manager Skill, AWS Secrets Manager Expert"
Cloud,AWS Systems Manager,"AWS Systems Manager Skill, AWS Systems Manager Expert, AWS Systems Manager Dev"
Cloud,Azure Virtual Machines,"AVM, Azure Virtual Machines Skill, Azure Virtual Machines Expert"
Cloud,Azure Blob Storage,"ABS, Azure Blob Storage Skill, Azure Blob Storage Expert"
Cloud,Azure Functions,"Azure Functions Skill, Azure Functions Expert, Azure Functions Dev"
Cloud,Azure Kubernetes Service,"AKS, Azure Kubernetes Service Skill, Azure Kubernetes Service Expert"
Cloud,Azure App Service,"AAS, Azure App Service Skill, Azure App Service Expert"
Cloud,Azure DevOps,"Azure DevOps Skill, Azure DevOps Expert, Azure DevOps Dev"
Cloud,Azure Active Directory,"AAD, Azure Active Directory Skill, Azure Active Directory Expert"
Cloud,Azure Monitor,"AM, Azure Monitor Skill, Azure Monitor Expert"
Cloud,Azure Key Vault,"AKV, Azure Key Vault Skill, Azure Key Vault Expert"
Cloud,Azure Logic Apps,"ALA, Azure Logic Apps Skill, Azure Logic Apps Expert"
Cloud,Azure Resource Manager,"ARM, Azure Resource Manager Skill, Azure Resource Manager Expert"
Cloud,Google Compute Engine,"GCE, Google Compute Engine Skill, Google Compute Engine Expert"
Cloud,Google Cloud Storage,"Google Cloud Storage Skill, Google Cloud Storage Expert, Google Cloud Storage Dev"
Cloud,Cloud Functions for Firebase,"CFFF, Cloud Functions for Firebase Skill, Cloud Functions for Firebase Expert"
Cloud,Google Kubernetes Engine,"GKE, Google Kubernetes Engine Skill, Google Kubernetes Engine Expert"
DevOps,Docker,"Docker Engine, Docker Containers, Docker Platform"
DevOps,Kubernetes,"K8s, Kube, Kubernetes Platform"
DevOps,Helm,"Helm Skill, Helm Expert, Helm Dev"
DevOps,Kustomize,"Kustomize Skill, Kustomize Expert, Kustomize Dev"
DevOps,Docker Compose,"DC, Docker Compose Skill, Docker Compose Expert"
DevOps,Podman,"Podman Skill, Podman Expert, Podman Dev"
DevOps,Buildah,"Buildah Skill, Buildah Expert, Buildah Dev"
DevOps,containerd,"containerd Skill, containerd Expert, containerd Dev"
DevOps,CRI-O,"CO, CRI-O Skill, CRI-O Expert"
DevOps,OpenShift,"OpenShift Skill, OpenShift Expert, OpenShift Dev"
DevOps,Rancher,"Rancher Skill, Rancher Expert, Rancher Dev"
DevOps,Nomad,"Nomad Skill, Nomad Expert, Nomad Dev"
DevOps,Consul,"Consul Skill, Consul Expert, Consul Dev"
DevOps,Vault,"Vault Skill, Vault Expert, Vault Dev"
DevOps,Terraform,"Terraform Skill, Terraform Expert, Terraform Dev"
DevOps,OpenTofu,"OpenTofu Skill, OpenTofu Expert, OpenTofu Dev"
DevOps,Pulumi,"Pulumi Skill, Pulumi Expert, Pulumi Dev"
DevOps,Ansible,"Ansible Skill, Ansible Expert, Ansible Dev"
DevOps,Chef,"Chef Skill, Chef Expert, Chef Dev"
DevOps,Puppet,"Puppet Skill, Puppet Expert, Puppet Dev"
DevOps,SaltStack,"SaltStack Skill, SaltStack Expert, SaltStack Dev"
DevOps,Vagrant,"Vagrant Skill, Vagrant Expert, Vagrant Dev"
DevOps,Packer,"Packer Skill, Packer Expert, Packer Dev"
DevOps,Crossplane,"Crossplane Skill, Crossplane Expert, Crossplane Dev"
DevOps,Argo CD,"Argo CD Skill, Argo CD Expert, Argo CD Dev"
DevOps,Flux CD,"FC, Flux CD Skill, Flux CD Expert"
DevOps,Jenkins,"Jenkins Skill, Jenkins Expert, Jenkins Dev"
DevOps,GitLab CI/CD,"GCC, GitLab CI/CD Skill, GitLab CI/CD Expert"
DevOps,GitHub Actions,"GA, GitHub Actions Skill, GitHub Actions Expert"
DevOps,CircleCI,"CircleCI Skill, CircleCI Expert, CircleCI Dev"
DevOps,Travis CI,"Travis CI Skill, Travis CI Expert, Travis CI Dev"
DevOps,Bamboo,"Bamboo Skill, Bamboo Expert, Bamboo Dev"
DevOps,TeamCity,"TeamCity Skill, TeamCity Expert, TeamCity Dev"
